cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
gbp|bearish,aoi_midpoint_range_position_mid,mostly_up,5,7,3.84,"2019:down,2020:up,2021:up,2022:up,2023:down,2024:up,2025:up"
gbp|bearish,trend_age_bars_1h,mostly_down,4,7,3.87,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
gbp|bearish,trend_age_impulses,mostly_down,4,7,4.86,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:up,2025:up"
gbp|bearish,max_retest_penetration_atr,mostly_down,4,7,5.15,"2019:up,2020:down,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bearish,bars_between_retest_and_break,mostly_down,5,7,3.12,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
gbp|bearish,aoi_touch_count_since_creation,mostly_up,4,7,5.88,"2019:down,2020:down,2021:up,2022:down,2023:up,2024:up,2025:up"
gbp|bearish,signal_candle_range_atr,mostly_down,6,7,6.06,"2019:down,2020:down,2021:up,2022:down,2023:down,2024:down,2025:down"
gbp|bearish,signal_candle_body_atr,mostly_down,6,7,3.93,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:down,2025:down"
gbp|bearish,aoi_near_edge_atr,mostly_down,5,7,4.43,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:down"
gbp|bearish,aoi_far_edge_atr,mostly_down,6,7,2.78,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:down,2025:down"
gbp|bearish,opp_extreme,consistent_down,7,7,4.5,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:down,2025:down"
gbp|bearish,trend_alignment_strength,mostly_down,4,7,3.87,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
gbp|bearish,hour_of_day_utc,mostly_down,4,7,3.83,"2019:down,2020:down,2021:up,2022:down,2023:down,2024:up,2025:up"
gbp|bearish,conflicted_tf,mostly_down,4,7,3.87,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
gbp|bullish,htf_range_position_mid,mostly_up,4,7,4.57,"2019:up,2020:up,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bullish,htf_range_position_high,mostly_up,5,7,2.59,"2019:up,2020:up,2021:up,2022:up,2023:down,2024:down,2025:up"
gbp|bullish,session_directional_bias,mostly_up,5,7,4.46,"2019:up,2020:up,2021:up,2022:up,2023:up,2024:down,2025:down"
