sl_model,n_groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_AOI_NEAR_PLUS_0_25,1,htf_range_size_mid_atr>=15,765,109.4,0.3752,0.1255,11,1.201
SL_AOI_NEAR_PLUS_0_5,1,trend_age_impulses>=3,885,126.5,0.3751,0.1376,16,1.222
SL_ATR_1_0,6,no_gate,2949,421.6,0.375,0.126,20,1.202
SL_ATR_1_0,6,bars_between_retest_and_break<=3 & max_retest_penetration_atr<=1.25,2164,309.4,0.3748,0.1256,17,1.201
SL_ATR_1_5,1,no_gate,945,135.1,0.3746,0.1475,12,1.241
SL_ATR_1_5,1,bars_between_retest_and_break<=3,793,113.4,0.3745,0.1495,12,1.245
SL_ATR_0_5,2,bear_htf>=0.7&bull_htf>=0.3,820,117.2,0.3744,0.1232,18,1.197
SL_ATR_1_0,6,break_close_location>=0.5,2661,380.4,0.3743,0.1239,19,1.198
SL_ATR_1_0,6,bars_between_retest_and_break<=3,2386,341.1,0.3743,0.1239,19,1.198
SL_ATR_1_0,6,distance_from_last_impulse_atr>=0.5,1962,280.5,0.3741,0.1233,17,1.197
SL_ATR_1_5,1,trend_age_impulses>=3,885,126.5,0.374,0.1342,12,1.217
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,1965,280.9,0.374,0.1235,18,1.198
SL_AOI_NEAR_PLUS_0_5,1,aoi_far_edge_atr>=1.0,923,131.9,0.3738,0.1366,16,1.221
SL_ATR_1_0,6,aoi_far_edge_atr>=1.0,2860,408.9,0.3731,0.1199,20,1.191
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.25 & signal_candle_opposite_extreme_atr>=0.35,1884,269.3,0.3731,0.1209,21,1.193
SL_ATR_2_0,1,htf_range_size_mid_atr>=15,788,112.6,0.3731,0.1936,12,1.333
SL_SIGNAL_CANDLE,1,trend_age_impulses>=3,885,126.5,0.3729,0.1485,15,1.242
SL_SIGNAL_CANDLE,1,bars_between_retest_and_break<=4,851,121.7,0.3725,0.1465,18,1.239
SL_AOI_NEAR_PLUS_0_5,1,bars_between_retest_and_break<=4,851,121.7,0.3725,0.1313,14,1.212
SL_SIGNAL_CANDLE,1,max_retest_penetration_atr<=1.5,819,117.1,0.3724,0.1431,19,1.233
SL_ATR_1_0,6,signal_candle_opposite_extreme_atr>=0.25,2857,408.4,0.3717,0.1161,20,1.185
SL_SIGNAL_CANDLE,1,aoi_far_edge_atr>=1.0,923,131.9,0.3716,0.1465,16,1.239
SL_ATR_1_0,6,signal_candle_opposite_extreme_atr>=0.5,2280,325.9,0.3715,0.1145,16,1.182
SL_ATR_1_0,6,signal_candle_opposite_extreme_atr>=0.35,2682,383.4,0.3714,0.1151,20,1.183
SL_ATR_1_5,1,bars_between_retest_and_break<=4,851,121.7,0.3713,0.1403,12,1.229
SL_ATR_1_5,1,max_retest_penetration_atr<=1.5,819,117.1,0.3712,0.1317,12,1.213
SL_ATR_1_5,1,aoi_far_edge_atr>=1.0,923,131.9,0.3705,0.1321,12,1.214
SL_SIGNAL_CANDLE_PLUS_0_25,1,break_close_location>=0.65,740,105.8,0.3703,0.1801,14,1.305
SL_ATR_1_0,6,htf_dir>=0.5,1306,186.7,0.3698,0.1109,12,1.176
SL_ATR_2_0,1,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3696,0.195,12,1.338
SL_ATR_2_0,1,htf_range_size_mid_atr>=10,929,132.8,0.3692,0.1934,9,1.335
SL_ATR_1_0,6,bear_htf>=0.8&bull_htf>=0.3 & bars_between_retest_and_break<=3,1104,157.8,0.3687,0.1068,17,1.169
