portfolio,gate,depth,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
top15_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,1226,175.3,0.3899,0.1697,11,1.278
top10_win,htf_dir>=0.4,1,1042,149.0,0.3896,0.1689,18,1.277
fixed_top15,htf_range_mid>=0.6,1,768,109.8,0.3893,0.1691,11,1.277
top10_win,htf_dir>=0.4 & break_close_location>=0.65,2,745,106.5,0.3893,0.1678,15,1.275
top15_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,951,136.0,0.3891,0.1672,11,1.274
top8_win,htf_dir>=0.45,1,779,111.4,0.389,0.1669,10,1.273
top10_win,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,985,140.8,0.3888,0.1665,18,1.272
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,759,108.5,0.3887,0.166,10,1.272
fixed_top15,htf_dir>=0.55 & signal_candle_opposite_extreme_atr>=0.35,2,741,105.9,0.3887,0.166,10,1.272
fixed_top15,htf_dir>=0.55 & signal_candle_opposite_extreme_atr>=0.35,2,741,105.9,0.3887,0.166,10,1.272
top10_win,htf_dir>=0.5 & max_retest_penetration_atr<=1.25,2,705,100.8,0.3887,0.166,11,1.271
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,749,107.1,0.3885,0.1656,10,1.271
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,878,125.5,0.3884,0.1651,10,1.27
top15_win,htf_dir>=0.4 & aoi_far_edge_atr>=1.5,2,933,133.4,0.388,0.164,10,1.268
top8_win,htf_dir>=0.5,1,719,102.8,0.388,0.1641,13,1.268
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,807,115.4,0.3879,0.1636,10,1.267
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=2,2,1081,154.5,0.3876,0.1628,12,1.266
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,916,130.9,0.3876,0.1627,10,1.266
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,707,101.1,0.3876,0.1627,13,1.266
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,751,107.4,0.3875,0.1625,11,1.265
top10_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,2,747,106.8,0.3869,0.1606,10,1.262
top12_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,760,108.6,0.3868,0.1605,10,1.262
top15_win,htf_dir>=0.45 & max_retest_penetration_atr<=1.25,2,1125,160.8,0.3867,0.16,11,1.261
top15_win,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,1397,199.7,0.3865,0.1596,11,1.26
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,872,124.7,0.3865,0.1594,16,1.26
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,766,109.5,0.3864,0.1593,13,1.26
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,704,100.6,0.3864,0.1591,11,1.259
top10_win,htf_dir>=0.4 & break_close_location>=0.5,2,919,131.4,0.3863,0.1589,18,1.259
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=3,2,1173,167.7,0.3862,0.1586,12,1.258
top12_win,htf_dir>=0.4 & max_retest_penetration_atr<=1.0,2,803,114.8,0.3861,0.1582,13,1.258
fixed_top15,htf_dir>=0.55,1,793,113.4,0.3859,0.1576,11,1.257
top15_win,htf_dir>=0.4 & break_close_location>=0.5,2,1341,191.7,0.3855,0.1566,12,1.255
top15_win,htf_dir>=0.45 & max_retest_penetration_atr<=1.0,2,942,134.7,0.3854,0.1561,11,1.254
top15_win,no_gate,0,2823,403.6,0.3851,0.1555,18,1.253
top15_win,htf_dir>=0.4,1,1517,216.9,0.385,0.1549,12,1.252
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,935,133.7,0.385,0.1551,13,1.252
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=3,2,943,134.8,0.3849,0.1548,12,1.252
top15_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.5,2,930,132.9,0.3849,0.1548,12,1.252
top15_win,htf_dir>=0.45 & break_close_location>=0.65,2,1014,145.0,0.3846,0.1538,14,1.25
fixed_top15,htf_dir>=0.6,1,716,102.4,0.3841,0.1522,12,1.247
top12_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.5,2,750,107.2,0.384,0.152,9,1.247
top12_win,htf_dir>=0.45 & max_retest_penetration_atr<=1.25,2,894,127.8,0.3837,0.151,11,1.245
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=2,2,871,124.5,0.3835,0.1504,11,1.244
top12_win,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,1125,160.8,0.3831,0.1493,9,1.242
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,792,113.2,0.3826,0.1477,10,1.239
top12_win,htf_dir>=0.4 & aoi_far_edge_atr>=1.5,2,746,106.6,0.382,0.1461,10,1.236
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,830,118.7,0.3819,0.1458,10,1.236
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=2,2,998,142.7,0.3818,0.1453,10,1.235
top15_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,880,125.8,0.3818,0.1455,13,1.235
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=2,2,804,114.9,0.3818,0.1455,11,1.235
top12_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,702,100.4,0.3818,0.1453,10,1.235
top15_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.25,2,1156,165.3,0.3815,0.1445,10,1.234
top12_win,htf_dir>=0.4 & break_close_location>=0.65,2,868,124.1,0.3813,0.144,14,1.233
top12_win,htf_dir>=0.5 & bars_between_retest_and_break<=3,2,868,124.1,0.3813,0.144,12,1.233
top12_win,htf_dir>=0.4,1,1204,172.1,0.3812,0.1437,11,1.232
top10_win,htf_dir>=0.45,1,972,139.0,0.3807,0.142,16,1.229
top15_win,htf_dir>=0.5 & break_close_location>=0.65,2,933,133.4,0.3805,0.1415,13,1.228
top15_win,htf_dir>=0.5 & max_retest_penetration_atr<=1.25,2,1034,147.8,0.3801,0.1402,11,1.226
top12_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.25,2,921,131.7,0.38,0.1401,10,1.226
top12_win,htf_dir>=0.5 & max_retest_penetration_atr<=1.25,2,819,117.1,0.3797,0.1392,11,1.224
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,722,103.2,0.3795,0.1385,10,1.223
top12_win,htf_dir>=0.4 & break_close_location>=0.5,2,1070,153.0,0.3794,0.1383,10,1.223
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=3,2,1081,154.5,0.3793,0.1378,11,1.222
top15_win,htf_dir>=0.45 & aoi_far_edge_atr>=1.5,2,860,122.9,0.3791,0.1372,13,1.221
top15_win,htf_dir>=0.5 & max_retest_penetration_atr<=1.0,2,868,124.1,0.379,0.1371,11,1.221
top10_win,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,916,130.9,0.3788,0.1365,16,1.22
top12_win,htf_dir>=0.55 & bars_between_retest_and_break<=3,2,791,113.1,0.378,0.134,14,1.215
top12_win,htf_dir>=0.55 & bars_between_retest_and_break<=2,2,733,104.8,0.3779,0.1337,13,1.215
top15_win,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,1299,185.7,0.3772,0.1316,12,1.211
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,793,113.4,0.377,0.1311,15,1.211
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,756,108.1,0.377,0.131,10,1.21
top15_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.5,2,865,123.7,0.3769,0.1306,18,1.21
top12_win,htf_dir>=0.6 & bars_between_retest_and_break<=3,2,717,102.5,0.3766,0.1297,14,1.208
top15_win,htf_dir>=0.45,1,1416,202.4,0.3764,0.1292,11,1.207
top15_win,htf_dir>=0.5 & aoi_far_edge_atr>=1.5,2,789,112.8,0.3764,0.1293,19,1.207
top12_win,htf_dir>=0.55 & max_retest_penetration_atr<=1.25,2,747,106.8,0.3762,0.1285,13,1.206
top15_win,htf_dir>=0.45 & break_close_location>=0.5,2,1250,178.7,0.376,0.128,11,1.205
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,851,121.7,0.376,0.1281,12,1.205
top12_win,htf_dir>=0.45 & max_retest_penetration_atr<=1.0,2,745,106.5,0.3758,0.1275,11,1.204
top10_win,htf_dir>=0.45 & break_close_location>=0.5,2,852,121.8,0.3756,0.1268,16,1.203
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=2,2,903,129.1,0.3754,0.1262,10,1.202
top10_win,htf_dir>=0.5,1,898,128.4,0.3753,0.1258,13,1.201
top10_win,htf_dir>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,850,121.5,0.3753,0.1259,13,1.202
top12_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,2,853,121.9,0.3751,0.1254,12,1.201
top15_win,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,2,1071,153.1,0.3744,0.1232,16,1.197
top15_win,htf_dir>=0.55 & max_retest_penetration_atr<=1.25,2,935,133.7,0.3743,0.123,11,1.197
top15_win,htf_dir>=0.55 & break_close_location>=0.65,2,837,119.7,0.374,0.1219,14,1.195
top15_win,htf_dir>=0.55 & bars_between_retest_and_break<=3,2,979,140.0,0.3739,0.1216,11,1.194
top15_win,htf_dir>=0.55 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,800,114.4,0.3738,0.1212,11,1.194
top15_win,htf_dir>=0.65 & bars_between_retest_and_break<=2,2,744,106.4,0.3737,0.121,11,1.193
top10_win,htf_dir>=0.5 & break_close_location>=0.5,2,787,112.5,0.3736,0.1207,13,1.193
top15_win,htf_dir>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,1201,171.7,0.373,0.1191,13,1.19
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=2,2,823,117.7,0.373,0.1191,12,1.19
top15_win,htf_dir>=0.5 & break_close_location>=0.5,2,1153,164.8,0.3729,0.1188,13,1.189
top15_win,htf_dir>=0.55 & max_retest_penetration_atr<=1.0,2,783,111.9,0.3729,0.1188,11,1.189
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,727,103.9,0.3728,0.1183,15,1.189
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,782,111.8,0.3721,0.1164,14,1.185
top12_win,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,1049,150.0,0.3718,0.1153,9,1.184
top10_win,htf_dir>=0.55 & signal_candle_opposite_extreme_atr>=0.35,2,775,110.8,0.3716,0.1148,12,1.183
top15_win,htf_dir>=0.6 & bars_between_retest_and_break<=3,2,894,127.8,0.3714,0.1141,12,1.181
top15_win,htf_dir>=0.7 & bars_between_retest_and_break<=3,2,727,103.9,0.3714,0.1142,11,1.182
top15_win,htf_dir>=0.55 & distance_to_next_htf_obstacle_atr>=0.5,2,787,112.5,0.371,0.1131,17,1.18
top15_win,htf_dir>=0.5,1,1305,186.6,0.3709,0.1126,13,1.179
top12_win,htf_dir>=0.45,1,1127,161.1,0.3709,0.1127,11,1.179
top10_win,htf_dir>=0.55,1,817,116.8,0.3709,0.1126,12,1.179
top15_win,htf_dir>=0.65 & bars_between_retest_and_break<=3,2,809,115.7,0.3708,0.1125,11,1.179
top15_win,htf_dir>=0.55 & signal_candle_opposite_extreme_atr>=0.35,2,1086,155.2,0.3702,0.1105,13,1.175
