gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_time_since_last_touch>=3.0,-0.0018,418,59.8,0.4067,0.2379,9,1.407
retest_candle_body_penetration<=0.39,-0.0019,824,117.8,0.4066,0.2316,10,1.394
session_directional_bias<=-0.92,-0.002,310,44.3,0.4065,0.2417,10,1.416
recent_trend_payoff_atr_24h>=-4.88,-0.0021,1464,209.3,0.4064,0.2315,10,1.395
session_directional_bias>=-1.91,-0.0022,1115,159.4,0.4063,0.2395,13,1.412
retest_candle_body_penetration<=0.63,-0.0023,1226,175.3,0.4062,0.2273,11,1.386
break_impulse_body_atr>=0.2,-0.0024,1470,210.1,0.4061,0.2363,14,1.405
break_impulse_body_atr>=1.31,-0.0024,165,23.6,0.4061,0.2692,8,1.481
htf_range_size_high_atr<=57.46,-0.0024,1465,209.4,0.4061,0.2354,15,1.403
signal_candle_opposite_extreme_atr<=1.6,-0.0024,1465,209.4,0.4061,0.228,11,1.388
retest_candle_body_penetration<=0.92,-0.0025,1468,209.9,0.406,0.231,12,1.394
recent_trend_payoff_atr_24h<=2.41,-0.0026,1222,174.7,0.4059,0.2369,12,1.407
trend_age_impulses>=7.0,-0.0026,340,48.6,0.4059,0.2221,8,1.376
aoi_midpoint_range_position_high<=0.43,-0.0027,414,59.2,0.4058,0.2274,9,1.387
distance_to_next_htf_obstacle_atr<=1.89,-0.0028,1464,209.3,0.4057,0.2319,17,1.397
bars_between_retest_and_break>=1.0,-0.003,952,136.1,0.4055,0.2324,11,1.397
trend_age_impulses<=7.0,-0.003,1497,214.0,0.4055,0.234,11,1.401
aoi_height_atr<=1.5,-0.0031,1226,175.3,0.4054,0.2359,11,1.405
htf_range_size_high_atr<=30.46,-0.0031,407,58.2,0.4054,0.2487,8,1.433
signal_candle_opposite_extreme_atr>=0.41,-0.0033,1466,209.6,0.4052,0.2335,14,1.4
max_retest_penetration_atr<=1.16,-0.0034,1222,174.7,0.4051,0.2307,14,1.394
aoi_midpoint_range_position_mid<=0.9,-0.0035,1479,211.4,0.405,0.2328,12,1.399
distance_to_next_htf_obstacle_atr>=0.08,-0.0037,1465,209.4,0.4048,0.2303,13,1.393
recent_trend_payoff_atr_48h<=5.88,-0.0037,1465,209.4,0.4048,0.2323,11,1.398
distance_from_last_impulse_atr<=4.17,-0.0037,1465,209.4,0.4048,0.2308,11,1.395
aoi_time_since_last_touch<=3.0,-0.0045,1250,178.7,0.404,0.2271,15,1.388
recent_trend_payoff_atr_24h>=-3.36,-0.0046,1218,174.1,0.4039,0.2253,13,1.384
aoi_last_reaction_strength<=3.77,-0.0048,488,69.8,0.4037,0.2351,8,1.403
retest_candle_body_penetration<=0.23,-0.0049,394,56.3,0.4036,0.2218,9,1.375
max_retest_penetration_atr>=0.3,-0.0051,1460,208.7,0.4034,0.2254,14,1.384
aoi_height_atr>=0.95,-0.0051,1465,209.4,0.4034,0.2196,12,1.371
aoi_far_edge_atr>=2.06,-0.0051,409,58.5,0.4034,0.2324,10,1.399
aoi_near_edge_atr>=0.06,-0.0051,1460,208.7,0.4034,0.2268,13,1.387
trend_age_impulses>=4.0,-0.0054,1367,195.4,0.4031,0.2241,10,1.381
recent_trend_payoff_atr_48h>=-6.08,-0.0055,1464,209.3,0.403,0.2229,11,1.379
max_retest_penetration_atr>=0.49,-0.0057,1214,173.5,0.4028,0.2256,12,1.385
aoi_touch_count_since_creation>=3.0,-0.0058,1279,182.8,0.4027,0.226,16,1.385
aoi_touch_count_since_creation>=4.0,-0.0061,1019,145.7,0.4024,0.2238,14,1.381
break_impulse_range_atr>=1.92,-0.0061,164,23.4,0.4024,0.2659,9,1.477
aoi_midpoint_range_position_high>=0.9,-0.0061,164,23.4,0.4024,0.2208,8,1.373
aoi_far_edge_atr>=1.2,-0.0065,1465,209.4,0.402,0.2226,12,1.379
trend_age_impulses>=5.0,-0.0068,1063,152.0,0.4017,0.2187,13,1.37
aoi_height_atr>=1.3,-0.0068,824,117.8,0.4017,0.2104,10,1.353
htf_range_size_high_atr>=37.58,-0.0068,814,116.4,0.4017,0.217,10,1.367
