depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
2,break_close_location>=0.496(p10) & break_close_location>=0.764(p50),0.0165,50.5,942,134.7,0.4236,0.5754,0.0011,0.2716,12,1.472
3,break_close_location>=0.496(p10) & break_close_location>=0.636(p25) & aoi_far_edge_atr>=1.414(p25),0.0164,60.2,1124,160.7,0.4235,0.5765,0.0,0.2705,11,1.469
2,break_impulse_range_atr<=1.398(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0164,60.6,1131,161.7,0.4235,0.5756,0.0009,0.2713,10,1.471
2,signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_range_atr<=1.398(p75),0.0164,60.6,1131,161.7,0.4235,0.5756,0.0009,0.2713,10,1.471
2,break_close_location>=0.636(p25) & aoi_far_edge_atr>=1.414(p25),0.0164,60.2,1124,160.7,0.4235,0.5765,0.0,0.2705,11,1.469
3,break_impulse_range_atr<=1.398(p75) & signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_range_atr<=1.398(p75),0.0164,60.6,1131,161.7,0.4235,0.5756,0.0009,0.2713,10,1.471
2,break_impulse_body_atr>=0.328(p25) & htf_range_size_high_atr<=48.734(p75),0.0161,58.6,1094,156.4,0.4232,0.5768,0.0,0.2697,12,1.468
2,htf_range_size_high_atr<=48.734(p75) & signal_candle_body_atr>=0.328(p25),0.0161,58.6,1094,156.4,0.4232,0.5768,0.0,0.2697,12,1.468
2,aoi_far_edge_atr>=1.211(p10) & signal_candle_body_atr>=0.551(p50),0.016,52.9,988,141.2,0.4231,0.5769,0.0,0.2692,10,1.467
2,break_impulse_body_atr>=0.551(p50) & aoi_far_edge_atr>=1.211(p10),0.016,52.9,988,141.2,0.4231,0.5769,0.0,0.2692,10,1.467
2,break_close_location>=0.636(p25) & htf_range_size_high_atr>=24.415(p10),0.0159,68.9,1286,183.8,0.423,0.577,0.0,0.2691,14,1.466
2,max_retest_penetration_atr<=1.141(p75) & signal_candle_range_atr<=1.398(p75),0.0157,54.5,1017,145.4,0.4228,0.5762,0.001,0.2693,8,1.467
2,max_retest_penetration_atr<=1.141(p75) & break_impulse_range_atr<=1.398(p75),0.0157,54.5,1017,145.4,0.4228,0.5762,0.001,0.2693,8,1.467
3,max_retest_penetration_atr<=1.141(p75) & break_impulse_range_atr<=1.398(p75) & signal_candle_range_atr<=1.398(p75),0.0157,54.5,1017,145.4,0.4228,0.5762,0.001,0.2693,8,1.467
2,max_retest_penetration_atr<=1.141(p75) & break_close_location>=0.496(p10),0.0154,66.1,1233,176.3,0.4225,0.5766,0.0008,0.2683,11,1.465
2,bars_between_retest_and_break<=5.000(p90) & trend_age_impulses>=5.000(p50),0.0154,57.7,1077,154.0,0.4225,0.5775,0.0,0.2674,18,1.463
3,break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_range_atr<=1.398(p75),0.0152,57.2,1068,152.7,0.4223,0.5768,0.0009,0.2677,12,1.464
2,htf_range_size_mid_atr>=20.779(p50) & htf_range_size_high_atr>=24.415(p10),0.0152,52.8,985,140.8,0.4223,0.5777,0.0,0.267,11,1.462
2,aoi_near_edge_atr>=0.271(p50) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0152,52.4,978,139.8,0.4223,0.5777,0.0,0.2669,10,1.462
2,trend_age_impulses>=4.000(p25) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0152,68.2,1274,182.1,0.4223,0.5777,0.0,0.2669,11,1.462
3,break_close_location>=0.496(p10) & break_impulse_range_atr<=1.398(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0152,57.2,1068,152.7,0.4223,0.5768,0.0009,0.2677,12,1.464
2,htf_range_size_high_atr<=48.734(p75) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0151,59.9,1118,159.8,0.4222,0.5778,0.0,0.2665,17,1.461
2,aoi_far_edge_atr>=1.211(p10) & aoi_near_edge_atr>=0.271(p50),0.0151,54.4,1016,145.2,0.4222,0.5778,0.0,0.2667,11,1.462
2,trend_age_impulses>=5.000(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.015,59.1,1104,157.8,0.4221,0.5779,0.0,0.2663,9,1.461
1,bars_between_retest_and_break<=2.000(p75),0.0148,74.8,1396,199.6,0.4219,0.5774,0.0007,0.2664,11,1.461
2,bars_between_retest_and_break<=2.000(p75) & bars_between_retest_and_break<=5.000(p90),0.0148,74.8,1396,199.6,0.4219,0.5774,0.0007,0.2664,11,1.461
2,trend_age_impulses>=4.000(p25) & aoi_far_edge_atr>=1.211(p10),0.0148,76.8,1434,205.0,0.4219,0.5781,0.0,0.2657,10,1.46
2,recent_trend_payoff_atr_24h<=3.209(p90) & aoi_near_edge_atr>=0.271(p50),0.0148,50.4,941,134.5,0.4219,0.5781,0.0,0.2657,11,1.46
2,max_retest_penetration_atr<=1.141(p75) & recent_trend_payoff_atr_48h<=2.606(p75),0.0148,55.2,1031,147.4,0.4219,0.5771,0.001,0.2666,10,1.462
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & aoi_far_edge_atr>=1.211(p10),0.0147,64.7,1209,172.8,0.4218,0.5782,0.0,0.2655,11,1.459
2,trend_age_impulses>=5.000(p50) & aoi_far_edge_atr>=1.211(p10),0.0147,58.5,1093,156.2,0.4218,0.5782,0.0,0.2653,11,1.459
2,htf_range_size_high_atr>=24.415(p10) & htf_range_size_high_atr<=48.734(p75),0.0146,63.6,1188,169.8,0.4217,0.5783,0.0,0.2652,11,1.459
2,htf_range_size_high_atr>=24.415(p10) & signal_candle_body_atr>=0.551(p50),0.0146,51.3,958,137.0,0.4217,0.5783,0.0,0.2651,11,1.458
2,break_impulse_body_atr>=0.551(p50) & htf_range_size_high_atr>=24.415(p10),0.0146,51.3,958,137.0,0.4217,0.5783,0.0,0.2651,11,1.458
2,max_retest_penetration_atr<=1.141(p75) & break_impulse_body_atr>=0.328(p25),0.0146,56.8,1060,151.5,0.4217,0.5783,0.0,0.2651,13,1.458
2,break_close_location>=0.496(p10) & aoi_far_edge_atr>=1.414(p25),0.0146,70.5,1316,188.1,0.4217,0.5783,0.0,0.2652,9,1.459
2,max_retest_penetration_atr<=1.141(p75) & signal_candle_body_atr>=0.328(p25),0.0146,56.8,1060,151.5,0.4217,0.5783,0.0,0.2651,13,1.458
2,break_close_location>=0.496(p10) & signal_candle_body_atr>=0.551(p50),0.0145,55.0,1027,146.8,0.4216,0.5784,0.0,0.2648,9,1.458
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0145,67.0,1250,178.7,0.4216,0.5776,0.0008,0.2655,11,1.46
2,break_close_location>=0.496(p10) & break_impulse_body_atr>=0.551(p50),0.0145,55.0,1027,146.8,0.4216,0.5784,0.0,0.2648,9,1.458
2,max_retest_penetration_atr<=1.141(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0144,67.9,1267,181.1,0.4215,0.5777,0.0008,0.2651,10,1.459
2,recent_trend_payoff_atr_24h<=3.209(p90) & trend_age_impulses>=5.000(p50),0.0143,57.6,1075,153.7,0.4214,0.5786,0.0,0.2642,11,1.457
2,bars_between_retest_and_break<=1.000(p50) & trend_age_impulses>=4.000(p25),0.014,56.0,1045,149.4,0.4211,0.578,0.001,0.264,13,1.457
2,bars_between_retest_and_break<=5.000(p90) & trend_age_impulses>=4.000(p25),0.014,75.7,1413,202.0,0.4211,0.5782,0.0007,0.2639,11,1.456
2,bars_between_retest_and_break<=5.000(p90) & break_impulse_body_atr>=0.328(p25),0.014,70.6,1318,188.4,0.4211,0.5789,0.0,0.2633,12,1.455
2,trend_age_impulses>=4.000(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.014,78.3,1463,209.1,0.4211,0.5783,0.0007,0.2637,10,1.456
2,break_close_location>=0.636(p25) & recent_trend_payoff_atr_24h<=3.209(p90),0.014,69.6,1299,185.7,0.4211,0.5781,0.0008,0.2639,10,1.456
2,bars_between_retest_and_break<=5.000(p90) & signal_candle_body_atr>=0.328(p25),0.014,70.6,1318,188.4,0.4211,0.5789,0.0,0.2633,12,1.455
2,break_close_location>=0.496(p10) & trend_age_impulses>=4.000(p25),0.0139,75.9,1418,202.7,0.421,0.5783,0.0007,0.2637,9,1.456
2,aoi_near_edge_atr>=0.271(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0139,55.2,1031,147.4,0.421,0.579,0.0,0.2629,12,1.454
2,break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0139,74.6,1392,199.0,0.421,0.5783,0.0007,0.2636,10,1.456
2,max_retest_penetration_atr<=1.141(p75) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0139,58.6,1095,156.5,0.421,0.579,0.0,0.263,12,1.454
3,break_close_location>=0.496(p10) & break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0139,74.6,1392,199.0,0.421,0.5783,0.0007,0.2636,10,1.456
2,bars_between_retest_and_break<=5.000(p90) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0138,72.4,1352,193.3,0.4209,0.5791,0.0,0.2626,11,1.453
