bear_hard,bull_hard,min_dir_score,min_uni_score,avail_bear,avail_bull,avail_uni,bear_features,bull_features,uni_features,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
tc<=3,none,1,2,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5123,69.5,0.4138,209.7,1953,279.2,0.4383,0.3279,14,1.592
none,sbias>=0.2+opp<=0.87,1,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.433,163.1,,,1258,179.8,0.4364,0.319,15,1.572
none,sbias>=0.2,0,3,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4289,166.0,,,1355,193.7,0.4362,0.3213,16,1.577
none,sbias>=0.2,2,2,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4301,185.1,,,1516,216.7,0.436,0.3131,11,1.558
tc<=3,none,1,0,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5068,73.3,0.4128,225.4,2090,298.8,0.4359,0.3198,15,1.574
tc<=3+range<=1.14,none,0,3,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4143,171.8,1457,208.3,0.4358,0.3234,12,1.583
none,none,0,4,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4538,81.9,0.4174,80.5,1136,162.4,0.4357,0.3207,10,1.576
tc<=3,none,1,1,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5069,72.5,0.4119,223.9,2073,296.3,0.4351,0.3176,15,1.57
tc<=3+dist>=0.21,none,1,2,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4138,209.7,1806,258.2,0.4347,0.3181,12,1.571
none,sbias>=0.2+opp<=0.87,0,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4289,166.0,,,1281,183.1,0.434,0.3117,15,1.556
